measure_class,dor_code,municipality,fiscal_year,vote_date,description,department,amount,result,votes_yes,votes_no
debt_exclusion,333,Weston,1990,1986-05-01,Schools,School,,Pass,709,212
debt_exclusion,349,Worthington,1990,1986-05-01,Fire/Town Hall,General Operating,,Pass,143,71
debt_exclusion,041,Brewster,1990,1986-06-01,Land Purchase Castiglioni Property,General Government,,Pass,662,68
debt_exclusion,041,Brewster,1990,1986-06-01,Land Purchase Harris Property,General Government,,Pass,641,84
debt_exclusion,041,Brewster,1990,1986-06-01,Land Purchase Alexander Property,General Government,,Pass,644,80
debt_exclusion,041,Brewster,1990,1986-06-01,Land Purchase/Francis Property,General Government,,Pass,646,81
debt_exclusion,041,Brewster,1990,1986-06-01,Land Purchase/Comp.Prop.Lot80,General Government,,Pass,652,80
debt_exclusion,041,Brewster,2000,1986-06-01,Land Purchase/Comp Prop Lot81-2/Boys/Girl,General Government,,Pass,642,82
debt_exclusion,053,Charlemont,1990,1986-06-01,Tax Map,General Government,,Pass,138,113
debt_exclusion,053,Charlemont,1990,1986-06-01,Police,Public Safety,,Pass,151,101
debt_exclusion,157,Lincoln,1990,1986-06-01,Land,General Government,,Pass,236,49
debt_exclusion,289,Sunderland,2000,1986-06-01,Schools,School,,Pass,263,81
debt_exclusion,054,Charlton,2000,1986-09-01,Regional School,School,,Pass,397,126
debt_exclusion,078,Dover,1990,1986-09-01,Recreation,Culture and Recreation,,Pass,408,325
debt_exclusion,078,Dover,1990,1986-09-01,Land,General Government,,Pass,449,282
debt_exclusion,078,Dover,1990,1986-09-01,Landfill,Public Works and Facilities,,Pass,492,243
debt_exclusion,172,Mashpee,1990,1986-09-01,Purchase 15.2 Acres Of Land,General Government,,Pass,386,103
debt_exclusion,250,Rochester,2000,1986-09-01,School,School,,Pass,548,499
debt_exclusion,075,Dennis,1990,1986-10-01,Land Simpkins Neck,General Government,,Pass,1148,555
debt_exclusion,139,Hopkinton,1990,1986-10-01,Repairs,General Government,,Pass,418,363
debt_exclusion,139,Hopkinton,1990,1986-10-01,Town Hall,General Government,,Pass,409,375
